City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,castro,-24.7911,-50.0119,16.99,92,26,2.48,BR,1675819430
1,shache,38.4167,77.2406,-2.31,66,0,2.32,CN,1675819431
2,richards bay,-28.783,32.0377,22.89,96,4,1.43,ZA,1675819221
3,tommot,58.9564,126.2925,-29.79,97,100,0.45,RU,1675819441
4,albany,42.6001,-73.9662,1.36,81,100,0.45,US,1675819442
5,georgetown,5.4112,100.3354,26.96,85,20,4.12,MY,1675819257
6,kibala,9.1104,18.3463,24.85,16,7,2.1,TD,1675819445
7,torbay,47.6666,-52.7314,-3.57,86,75,9.77,CA,1675819456
8,lorengau,-2.0226,147.2712,25.56,93,100,6.16,PG,1675819470
9,rikitea,-23.1203,-134.9692,26.67,68,7,5.0,PF,1675819439
10,tezu,27.9167,96.1667,15.28,65,99,0.69,IN,1675819471
11,mataura,-46.1927,168.8643,14.15,75,83,4.67,NZ,1675819485
12,ushuaia,-54.8,-68.3,9.81,71,20,5.14,AR,1675819492
13,jamestown,42.097,-79.2353,7.8,70,75,7.2,US,1675819376
14,hobart,-42.8794,147.3294,17.92,67,75,6.17,AU,1675819499
15,tiksi,71.6872,128.8694,-35.16,99,100,2.38,RU,1675819502
16,yellowknife,62.456,-114.3525,-19.71,77,75,2.57,CA,1675819233
17,sinnamary,5.3833,-52.95,24.2,90,82,4.8,GF,1675819502
18,tasiilaq,65.6145,-37.6368,-16.91,35,0,16.15,GL,1675819511
19,punta arenas,-53.15,-70.9167,12.06,76,0,4.12,CL,1675819107
20,kapaa,22.0752,-159.319,26.18,89,100,6.17,US,1675819511
21,erenhot,43.6475,111.9767,-9.73,66,100,1.82,CN,1675819512
22,port lincoln,-34.7333,135.8667,22.68,62,7,5.11,AU,1675819513
23,airai,-8.9266,125.4092,20.69,78,78,1.32,TL,1675819513
24,east london,-33.0153,27.9116,21.66,84,100,5.62,ZA,1675819431
25,zhigansk,66.7697,123.3711,-45.65,99,100,2.79,RU,1675819514
26,varkkallai,8.7341,76.7067,24.88,78,32,1.98,IN,1675819515
27,le vauclin,14.5452,-60.8388,25.03,78,100,3.09,MQ,1675819515
28,bhadrak,21.0633,86.5054,17.39,89,0,2.36,IN,1675819516
29,birnin kebbi,12.4539,4.1975,24.32,14,100,5.06,NG,1675819516
30,ampere,-25.915,-53.4728,21.36,54,15,1.07,BR,1675819528
31,saint-philippe,-21.3585,55.7679,24.77,83,94,6.23,RE,1675819528
32,mahebourg,-20.4081,57.7,26.16,83,40,4.63,MU,1675819540
33,atuona,-9.8,-139.0333,26.07,76,19,6.78,PF,1675819540
34,narsaq,60.9167,-46.05,-21.88,66,0,3.53,GL,1675819540
35,khatanga,71.9667,102.5,-44.19,100,65,1.11,RU,1675819541
36,avarua,-21.2078,-159.775,29.03,74,20,5.66,CK,1675819552
37,hit,33.6416,42.8251,8.97,62,9,3.9,IQ,1675819552
38,tuktoyaktuk,69.4541,-133.0374,-32.0,75,100,1.54,CA,1675819553
39,kaeo,-35.1,173.7833,23.8,50,12,2.7,NZ,1675819553
40,ponta do sol,32.6667,-17.1,15.95,65,34,2.93,PT,1675819558
41,sagay,10.9447,123.4242,26.29,80,100,4.98,PH,1675819559
42,ancud,-41.8697,-73.8203,14.57,93,0,1.74,CL,1675819559
43,hasaki,35.7333,140.8333,10.68,70,100,10.33,JP,1675819560
44,balykshi,47.0667,51.8667,-6.0,86,75,11.0,KZ,1675819561
45,binga,-17.6203,27.3414,21.55,83,65,0.27,ZW,1675819561
46,temir,49.1414,57.13,-16.02,92,16,6.35,KZ,1675819561
47,victoria,22.2855,114.1577,18.31,87,97,5.81,HK,1675819365
48,puerto ayora,-0.7393,-90.3518,26.42,92,27,4.02,EC,1675819563
49,copiapo,-27.3667,-70.3333,16.83,51,56,1.75,CL,1675819565
50,busselton,-33.65,115.3333,22.42,57,0,3.71,AU,1675819566
51,tuatapere,-46.1333,167.6833,12.51,66,81,6.51,NZ,1675819566
52,coquimbo,-29.9533,-71.3436,17.85,88,100,1.54,CL,1675819567
53,aklavik,68.2191,-135.0107,-29.14,95,100,3.61,CA,1675819567
